driver_id,week,anomaly_score,reason_1,reason_1_zscore,reason_2,reason_2_zscore,reason_3,reason_3_zscore
D001,3,-0.5389,speeding_per_100km,3.23,phone_use_per_100km,1.92,daily_hours,1.72
D001,9,-0.5376,daily_floors,2.8,sharp_turns_per_100km,2.07,speeding_per_100km,1.85
D004,10,-0.561,sharp_turns_per_100km,3.32,daily_lifting_events,2.32,daily_steps,2.25
D004,22,-0.5481,daily_lifting_events,2.86,daily_floors,2.03,fuel_per_100km,1.95
D005,12,-0.5396,phone_use_per_100km,4.55,daily_hours,1.72,night_driving_pct,1.59
D005,18,-0.5352,daily_lifting_events,3.1,sharp_turns_per_100km,2.05,daily_floors,2.01
D005,19,-0.5353,daily_floors,2.55,daily_lifting_events,1.85,daily_steps,1.82
D005,21,-0.5539,daily_floors,2.63,daily_steps,2.45,sharp_turns_per_100km,2.16
D005,25,-0.5402,daily_lifting_events,2.63,daily_steps,2.59,daily_hours,2.14
D007,13,-0.5489,daily_steps,2.87,daily_floors,2.57,hard_accels_per_100km,1.89
D007,19,-0.5735,hard_brakes_per_100km,2.98,sharp_turns_per_100km,2.47,daily_floors,1.98
D009,8,-0.5376,daily_lifting_events,2.86,daily_floors,2.47,daily_steps,2.39
D010,22,-0.5374,idle_time_pct,4.04,phone_use_per_100km,2.08,fuel_per_100km,1.98
D010,24,-0.5421,idle_time_pct,4.33,fuel_per_100km,2.36,daily_hours,1.22
D011,1,-0.5528,idle_time_pct,4.63,fuel_per_100km,2.84,night_driving_pct,1.59
D011,2,-0.5593,daily_floors,2.82,daily_hours,2.47,daily_steps,2.37
D011,7,-0.5369,idle_time_pct,3.46,fuel_per_100km,3.32,night_driving_pct,1.59
D011,11,-0.5561,idle_time_pct,4.59,daily_floors,2.11,phone_use_per_100km,1.76
D011,23,-0.5477,daily_hours,3.14,daily_floors,2.46,daily_steps,1.84
D011,24,-0.5672,phone_use_per_100km,2.81,sharp_turns_per_100km,2.06,daily_floors,1.8
D012,1,-0.563,idle_time_pct,5.85,fuel_per_100km,3.51,daily_hours,2.72
D013,4,-0.5581,hard_brakes_per_100km,3.59,total_events_per_100km,2.23,speeding_per_100km,2.08
D013,6,-0.5398,hard_accels_per_100km,3.57,speeding_per_100km,2.06,phone_use_per_100km,1.74
D013,7,-0.5717,speeding_per_100km,2.9,hard_brakes_per_100km,2.39,total_events_per_100km,2.33
D013,9,-0.5372,speeding_per_100km,2.8,sharp_turns_per_100km,2.02,total_events_per_100km,1.97
D013,15,-0.5878,speeding_per_100km,3.83,daily_steps,2.65,fuel_per_100km,2.59
D013,18,-0.5606,speeding_per_100km,2.39,phone_use_per_100km,2.28,hard_accels_per_100km,2.01
D013,25,-0.5964,sharp_turns_per_100km,4.33,speeding_per_100km,2.68,phone_use_per_100km,2.31
D014,19,-0.5813,sharp_turns_per_100km,3.32,hard_brakes_per_100km,2.8,total_events_per_100km,2.53
D019,2,-0.5386,fuel_per_100km,3.18,idle_time_pct,2.6,daily_hours,2.05
D019,19,-0.5405,phone_use_per_100km,4.45,hard_brakes_per_100km,2.13,sharp_turns_per_100km,1.46
D021,2,-0.5526,fuel_per_100km,2.32,sharp_turns_per_100km,2.28,daily_floors,2.06
D021,7,-0.5684,daily_floors,2.58,speeding_per_100km,2.37,hard_brakes_per_100km,2.07
D021,8,-0.58,sharp_turns_per_100km,3.32,hard_accels_per_100km,3.01,total_events_per_100km,2.55
D021,9,-0.5609,speeding_per_100km,3.03,hard_accels_per_100km,2.32,total_events_per_100km,2.3
D021,10,-0.537,phone_use_per_100km,2.62,hard_accels_per_100km,2.31,sharp_turns_per_100km,2.26
D021,11,-0.6321,hard_accels_per_100km,3.66,sharp_turns_per_100km,3.58,hard_brakes_per_100km,3.42
D024,12,-0.5745,phone_use_per_100km,5.62,hard_brakes_per_100km,2.49,daily_steps,1.85
D025,18,-0.6139,phone_use_per_100km,4.74,hard_brakes_per_100km,2.98,idle_time_pct,2.78
D027,5,-0.5474,hard_accels_per_100km,2.75,daily_steps,2.07,fuel_per_100km,1.94
D027,9,-0.5557,speeding_per_100km,2.74,hard_brakes_per_100km,2.12,total_events_per_100km,1.94
D027,16,-0.5785,speeding_per_100km,3.67,hard_accels_per_100km,2.85,total_events_per_100km,2.02
D027,18,-0.5412,hard_accels_per_100km,3.07,hard_brakes_per_100km,2.81,total_events_per_100km,1.66
D030,19,-0.5728,hard_accels_per_100km,3.05,hard_brakes_per_100km,2.53,total_events_per_100km,2.33
D030,20,-0.6347,phone_use_per_100km,4.74,sharp_turns_per_100km,4.17,total_events_per_100km,2.72
D030,21,-0.642,sharp_turns_per_100km,3.58,total_events_per_100km,2.87,hard_accels_per_100km,2.65
D030,22,-0.601,hard_accels_per_100km,4.38,speeding_per_100km,3.62,total_events_per_100km,3.25
D032,24,-0.5557,daily_floors,3.38,daily_steps,2.68,idle_time_pct,2.06
D033,16,-0.5564,daily_steps,2.71,daily_floors,2.08,night_driving_pct,1.59
D034,15,-0.5441,sharp_turns_per_100km,2.63,daily_hours,2.3,hard_accels_per_100km,2.17
D034,16,-0.5477,phone_use_per_100km,3.28,hard_accels_per_100km,3.05,sharp_turns_per_100km,2.05
D034,18,-0.5732,hard_accels_per_100km,3.25,speeding_per_100km,2.74,total_events_per_100km,2.59
D034,19,-0.5485,hard_accels_per_100km,3.32,phone_use_per_100km,2.49,total_events_per_100km,2.4
D034,20,-0.5901,hard_accels_per_100km,3.0,phone_use_per_100km,2.81,total_events_per_100km,2.71
D034,21,-0.6054,hard_accels_per_100km,3.45,sharp_turns_per_100km,3.3,total_events_per_100km,3.23
D044,2,-0.5387,daily_hours,3.14,daily_km,3.02,speeding_per_100km,1.43
D044,6,-0.5673,hard_brakes_per_100km,3.31,total_events_per_100km,2.33,sharp_turns_per_100km,2.18
D044,7,-0.5885,sharp_turns_per_100km,3.47,hard_accels_per_100km,2.81,total_events_per_100km,2.41
D044,8,-0.6019,hard_accels_per_100km,3.17,sharp_turns_per_100km,2.83,total_events_per_100km,2.68
D044,9,-0.5986,phone_use_per_100km,2.99,sharp_turns_per_100km,2.79,total_events_per_100km,2.55
D044,10,-0.677,hard_brakes_per_100km,5.42,sharp_turns_per_100km,4.17,total_events_per_100km,3.67
D045,21,-0.5563,daily_steps,2.62,daily_floors,2.6,daily_lifting_events,2.47
D048,9,-0.5339,daily_hours,2.56,sharp_turns_per_100km,2.21,phone_use_per_100km,1.95
D048,10,-0.534,phone_use_per_100km,2.88,daily_floors,1.98,sharp_turns_per_100km,1.76
D048,19,-0.5391,phone_use_per_100km,2.86,daily_steps,2.12,daily_floors,1.87
D048,22,-0.5364,daily_lifting_events,2.47,daily_floors,2.18,daily_steps,1.92
D048,23,-0.5597,hard_brakes_per_100km,3.92,sharp_turns_per_100km,2.65,total_events_per_100km,2.05
D049,11,-0.5466,idle_time_pct,3.1,sharp_turns_per_100km,2.1,fuel_per_100km,1.95
D049,16,-0.5639,daily_steps,2.89,daily_floors,2.71,idle_time_pct,2.54
D049,21,-0.5422,idle_time_pct,5.48,fuel_per_100km,2.46,daily_hours,1.72
D049,23,-0.5365,idle_time_pct,3.39,fuel_per_100km,2.17,daily_floors,1.81
D049,24,-0.5348,idle_time_pct,3.23,fuel_per_100km,3.21,daily_hours,1.72
D051,19,-0.577,daily_lifting_events,4.43,idle_time_pct,4.36,fuel_per_100km,1.97
D057,3,-0.5532,speeding_per_100km,2.43,hard_accels_per_100km,2.21,total_events_per_100km,2.04
D057,14,-0.5562,daily_steps,2.59,daily_floors,2.25,speeding_per_100km,2.2
D057,21,-0.5364,hard_brakes_per_100km,2.0,sharp_turns_per_100km,1.99,hard_accels_per_100km,1.93
D058,1,-0.6016,hard_accels_per_100km,3.07,speeding_per_100km,2.63,fuel_per_100km,2.27
D058,2,-0.549,hard_accels_per_100km,2.54,daily_steps,2.27,phone_use_per_100km,2.1
D058,8,-0.5522,phone_use_per_100km,3.09,speeding_per_100km,2.0,fuel_per_100km,1.9
D058,13,-0.5433,daily_hours,2.89,hard_brakes_per_100km,2.64,daily_km,1.78
D058,16,-0.5345,hard_brakes_per_100km,2.69,daily_floors,1.87,sharp_turns_per_100km,1.77
D058,18,-0.5381,phone_use_per_100km,2.44,speeding_per_100km,2.31,sharp_turns_per_100km,1.98
D058,21,-0.5604,speeding_per_100km,3.76,hard_accels_per_100km,2.41,total_events_per_100km,1.79
D058,22,-0.5785,hard_brakes_per_100km,2.93,speeding_per_100km,2.79,hard_accels_per_100km,2.46
D063,8,-0.5407,daily_lifting_events,3.0,fuel_per_100km,2.39,idle_time_pct,1.74
D066,23,-0.5537,daily_lifting_events,3.1,daily_steps,2.92,daily_floors,1.8
D072,7,-0.5465,idle_time_pct,2.91,fuel_per_100km,2.21,sharp_turns_per_100km,1.68
D072,16,-0.5863,idle_time_pct,2.83,daily_floors,2.81,phone_use_per_100km,2.81
D072,17,-0.5778,hard_brakes_per_100km,2.18,total_events_per_100km,2.14,idle_time_pct,2.08
D072,18,-0.5692,daily_lifting_events,2.86,daily_steps,2.46,daily_hours,2.3
D072,21,-0.5669,daily_floors,3.04,daily_steps,2.91,idle_time_pct,2.23
D072,25,-0.5388,idle_time_pct,2.73,fuel_per_100km,2.34,daily_steps,2.24
D072,26,-0.5429,idle_time_pct,3.06,daily_hours,2.05,total_events_per_100km,1.66
D073,11,-0.5945,daily_hours,3.23,daily_lifting_events,2.61,daily_steps,2.12
D074,17,-0.5366,hard_accels_per_100km,2.74,sharp_turns_per_100km,2.64,hard_brakes_per_100km,2.5
D074,19,-0.5578,hard_accels_per_100km,3.24,speeding_per_100km,2.82,sharp_turns_per_100km,2.38
D074,20,-0.537,sharp_turns_per_100km,2.88,speeding_per_100km,2.31,total_events_per_100km,2.16
D074,22,-0.5841,sharp_turns_per_100km,3.48,speeding_per_100km,2.8,hard_accels_per_100km,2.73
D074,23,-0.6016,phone_use_per_100km,4.32,sharp_turns_per_100km,3.36,total_events_per_100km,2.77
D077,2,-0.5642,hard_accels_per_100km,4.2,total_events_per_100km,2.25,daily_hours,2.05
D077,3,-0.5341,hard_accels_per_100km,2.09,sharp_turns_per_100km,1.94,hard_brakes_per_100km,1.87
D077,9,-0.5396,speeding_per_100km,2.49,phone_use_per_100km,2.34,total_events_per_100km,2.09
D077,10,-0.5413,speeding_per_100km,3.29,sharp_turns_per_100km,2.43,total_events_per_100km,2.1
D077,11,-0.5639,sharp_turns_per_100km,2.93,total_events_per_100km,2.5,hard_accels_per_100km,2.47
D077,12,-0.6108,hard_brakes_per_100km,3.83,sharp_turns_per_100km,3.1,hard_accels_per_100km,2.9
D077,13,-0.6143,hard_accels_per_100km,3.53,hard_brakes_per_100km,3.23,total_events_per_100km,3.17
D077,14,-0.6139,hard_brakes_per_100km,3.69,total_events_per_100km,3.16,speeding_per_100km,3.07
D077,15,-0.6348,speeding_per_100km,4.09,hard_brakes_per_100km,3.78,total_events_per_100km,3.57
D077,16,-0.6322,speeding_per_100km,4.23,hard_accels_per_100km,3.69,total_events_per_100km,3.58
D079,23,-0.5382,daily_lifting_events,2.22,daily_hours,2.22,fuel_per_100km,1.84
D080,19,-0.5432,daily_km,3.21,daily_hours,3.14,hard_accels_per_100km,2.01
