driver_id,week,safety_score
D001,1,87.6
D001,2,92.7
D001,3,78.5
D001,4,86.1
D001,5,90.3
D001,6,88.3
D001,7,86.4
D001,8,82.3
D001,9,92.6
D001,10,76.0
D001,11,80.0
D001,12,75.9
D001,13,87.0
D001,14,84.5
D001,15,93.3
D001,16,76.3
D001,17,74.5
D002,1,45.5
D002,2,49.2
D002,3,34.2
D002,4,53.0
D002,5,36.3
D002,6,52.6
D002,7,45.9
D002,8,64.3
D002,9,43.8
D002,10,41.9
D002,11,28.0
D002,12,48.3
D002,13,47.8
D002,14,48.4
D002,15,42.6
D002,16,39.9
D002,17,25.8
D002,18,37.8
D002,19,34.0
D002,20,29.6
D002,21,22.6
D002,22,23.8
D002,23,36.6
D002,24,41.3
D002,25,28.9
D002,26,36.1
D003,1,66.5
D003,2,65.5
D003,3,66.0
D003,4,67.7
D003,5,64.2
D003,6,65.5
D003,7,69.1
D003,8,63.3
D003,9,67.3
D003,10,61.6
D003,11,72.1
D003,12,70.4
D003,13,60.0
D003,14,72.0
D003,15,66.1
D003,16,65.6
D003,17,64.6
D003,18,64.1
D003,19,67.6
D003,20,72.2
D003,21,61.7
D003,22,65.6
D003,23,69.1
D003,24,64.4
D003,25,66.2
D003,26,70.7
D004,1,98.1
D004,2,81.4
D004,3,87.6
D004,4,85.2
D004,5,93.4
D004,6,100.0
D004,7,76.0
D004,8,76.9
D004,9,84.3
D004,10,89.7
D004,11,73.8
D004,12,90.6
D004,13,90.4
D004,14,79.7
D004,15,92.8
D004,16,96.9
D004,17,88.3
D004,18,94.7
D004,19,89.0
D004,20,78.5
D004,21,88.2
D004,22,76.3
D004,23,78.1
D004,24,89.1
D004,25,77.5
D004,26,76.4
D005,1,67.4
D005,2,67.7
D005,3,70.1
D005,4,72.9
D005,5,61.4
D005,6,58.8
D005,7,65.3
D005,8,49.8
D005,9,60.0
D005,10,59.8
D005,11,66.1
D005,12,50.7
D005,13,59.8
D005,14,65.9
D005,15,60.1
D005,16,66.3
D005,17,67.7
D005,18,67.7
D005,19,66.3
D005,20,66.9
D005,21,56.8
D005,22,63.4
D005,23,74.2
D005,24,66.9
D005,25,76.2
D005,26,64.8
D006,1,89.4
D006,2,92.6
D006,3,93.0
D006,4,91.9
D006,5,85.8
D006,6,91.8
D006,7,90.7
D006,8,93.5
D006,9,92.2
D006,10,67.0
D006,11,88.9
D006,12,92.4
D006,13,77.1
D006,14,96.7
D006,15,82.6
D006,16,87.0
D006,17,100.0
D006,18,80.9
D006,19,82.4
D006,20,89.1
D006,21,96.9
D006,22,97.0
D006,23,79.9
D006,24,96.1
D006,25,87.8
D006,26,87.8
