driver_id,age,experience_years,hire_date,region,shift_preference,training_completed,monthly_salary,termination_date,termination_reason
D001,52,0,2023-03-11,southeast,rotating,"defensive_driving,fatigue_awareness",3940,2024-04-28,voluntary
D002,33,1,2022-07-21,northeast,day,"eco_driving,fatigue_awareness",3500,,
D003,29,2,2021-09-12,midwest,night,"eco_driving,defensive_driving,fatigue_awareness",3946,,
D004,21,0,2023-04-09,southeast,day,fatigue_awareness,4831,,
D005,33,12,2011-09-30,southeast,night,defensive_driving,4157,,
D006,35,2,2021-12-26,northeast,day,defensive_driving,3855,,
D007,38,3,2020-08-07,southeast,day,eco_driving,3601,,
D008,42,1,2022-11-29,midwest,rotating,eco_driving,2965,,
D009,21,0,2023-03-31,southeast,night,"defensive_driving,fatigue_awareness",4259,,
D010,39,2,2021-05-19,southeast,rotating,none,4252,,
D011,43,1,2022-01-16,midwest,day,defensive_driving,4117,,
D012,37,0,2023-05-17,northeast,rotating,defensive_driving,4008,,
D013,24,1,2022-05-10,northeast,day,defensive_driving,4560,,
D014,46,2,2021-09-18,northeast,night,defensive_driving,4397,,
D015,44,1,2022-07-03,northeast,day,none,4025,,
D016,28,0,2023-08-08,southeast,day,eco_driving,3901,,
D017,44,0,2023-08-12,southeast,day,"eco_driving,fatigue_awareness",3659,,
D018,21,2,2021-04-28,southeast,night,"eco_driving,defensive_driving",4433,,
D019,36,0,2023-05-01,southeast,day,defensive_driving,3856,,
D020,39,1,2022-12-21,midwest,day,fatigue_awareness,4270,2024-03-15,voluntary
D021,61,2,2021-10-31,northeast,rotating,defensive_driving,5121,,
D022,30,0,2023-02-18,midwest,rotating,"defensive_driving,fatigue_awareness",4142,,
D023,41,0,2023-06-03,northeast,day,none,3393,,
D024,22,2,2021-11-21,midwest,day,"eco_driving,defensive_driving,fatigue_awareness",3957,,
D025,35,4,2019-12-11,midwest,day,"eco_driving,defensive_driving",5136,,
D026,33,2,2021-11-14,midwest,night,fatigue_awareness,4265,,
D027,35,0,2023-08-12,midwest,night,eco_driving,4230,,
D028,36,1,2022-03-15,midwest,day,"eco_driving,defensive_driving,fatigue_awareness",4494,,
D029,33,0,2023-07-24,northeast,day,"defensive_driving,fatigue_awareness",4303,,
D030,46,2,2021-05-27,northeast,day,eco_driving,4353,,
D031,21,9,2014-07-29,northeast,rotating,defensive_driving,3589,,
D032,51,3,2020-12-26,northeast,day,"eco_driving,fatigue_awareness",4210,,
D033,57,1,2022-12-31,southeast,day,none,4732,,
D034,37,3,2020-09-06,northeast,day,"defensive_driving,fatigue_awareness",3751,,
D035,44,0,2023-06-14,northeast,day,defensive_driving,4878,2024-03-13,voluntary
D036,48,0,2023-03-26,midwest,rotating,defensive_driving,4318,,
D037,52,1,2022-06-17,northeast,day,"eco_driving,defensive_driving",3760,,
D038,44,2,2021-02-03,northeast,day,"defensive_driving,fatigue_awareness",4468,,
D039,51,1,2022-04-10,northeast,day,eco_driving,4056,,
D040,33,0,2023-03-07,northeast,day,none,4308,,
D041,36,2,2021-02-14,midwest,day,"defensive_driving,fatigue_awareness",3899,,
D042,24,0,2023-02-23,southeast,rotating,defensive_driving,3814,2024-05-12,voluntary
D043,24,3,2020-05-07,southeast,day,"eco_driving,defensive_driving",5115,,
D044,40,8,2015-02-25,northeast,rotating,defensive_driving,3651,,
D045,38,0,2023-02-16,northeast,rotating,"eco_driving,defensive_driving,fatigue_awareness",4223,,
D046,24,6,2017-09-07,southeast,day,eco_driving,4467,,
D047,49,3,2020-11-02,midwest,rotating,"defensive_driving,fatigue_awareness",4233,,
D048,52,3,2020-12-24,midwest,night,"eco_driving,defensive_driving",4638,2024-06-06,voluntary
D049,53,1,2022-11-29,southeast,rotating,defensive_driving,4237,,
D050,35,1,2022-06-03,midwest,day,"defensive_driving,fatigue_awareness",3367,,
D051,41,0,2023-06-26,southeast,rotating,fatigue_awareness,3730,,
D052,29,0,2023-05-03,midwest,rotating,"eco_driving,defensive_driving",3920,2024-06-13,voluntary
D053,57,0,2023-07-26,southeast,day,fatigue_awareness,4101,2024-04-17,voluntary
D054,35,0,2023-04-17,northeast,day,"defensive_driving,fatigue_awareness",3049,,
D055,38,2,2021-04-17,midwest,day,"eco_driving,defensive_driving,fatigue_awareness",4684,2024-04-07,voluntary
D056,31,1,2022-12-28,southeast,night,none,3659,,
D057,61,0,2023-07-30,northeast,day,"eco_driving,defensive_driving",4707,,
D058,24,1,2022-02-02,northeast,rotating,"eco_driving,fatigue_awareness",4481,2024-06-27,voluntary
D059,39,3,2020-02-12,northeast,day,none,4653,2024-06-26,voluntary
D060,47,1,2022-01-31,southeast,day,"defensive_driving,fatigue_awareness",3819,,
D061,44,2,2021-11-23,midwest,night,"eco_driving,defensive_driving,fatigue_awareness",3369,,
D062,31,0,2023-08-17,northeast,night,defensive_driving,4580,,
D063,41,5,2018-07-12,northeast,rotating,eco_driving,3898,2024-04-04,involuntary
D064,43,3,2021-01-07,northeast,night,defensive_driving,4437,,
D065,55,2,2021-06-28,southeast,night,none,4000,,
D066,30,1,2022-10-11,northeast,day,eco_driving,4227,,
D067,37,0,2023-05-25,southeast,rotating,none,4727,,
D068,44,0,2023-06-14,midwest,day,defensive_driving,3745,,
D069,62,2,2021-12-06,northeast,rotating,eco_driving,4291,,
D070,49,2,2021-04-10,southeast,day,defensive_driving,4379,,
D071,46,5,2018-12-20,midwest,rotating,defensive_driving,3731,2024-06-20,voluntary
D072,53,2,2021-12-01,northeast,day,eco_driving,3944,,
D073,62,0,2023-06-30,midwest,rotating,defensive_driving,4461,2024-03-09,voluntary
D074,37,4,2019-10-31,southeast,night,"eco_driving,fatigue_awareness",4603,,
D075,48,1,2022-01-21,southeast,day,none,3850,,
D076,39,1,2022-02-24,southeast,day,"eco_driving,defensive_driving",4764,,
D077,60,1,2022-11-28,midwest,night,eco_driving,3913,,
D078,32,1,2022-04-01,northeast,rotating,"eco_driving,defensive_driving",2415,2024-03-08,involuntary
D079,47,1,2022-09-20,northeast,day,"defensive_driving,fatigue_awareness",4835,,
D080,43,3,2020-08-01,southeast,night,none,3673,2024-06-04,involuntary
D081,21,0,2023-06-16,midwest,rotating,defensive_driving,3749,,
D082,43,2,2021-09-22,northeast,rotating,"eco_driving,defensive_driving",4330,,
D083,31,1,2022-12-03,northeast,rotating,defensive_driving,4825,,
D084,24,8,2015-06-06,southeast,rotating,"defensive_driving,fatigue_awareness",4139,,
D085,27,2,2021-09-18,southeast,night,none,4088,,
D086,36,1,2022-05-25,northeast,day,"eco_driving,defensive_driving,fatigue_awareness",3860,,
D087,45,2,2021-02-27,midwest,rotating,none,3533,,
D088,39,1,2022-11-23,northeast,day,none,4088,,
D089,43,6,2017-11-16,northeast,day,defensive_driving,4140,,
D090,33,3,2020-01-24,southeast,day,none,5349,,
D091,34,0,2023-08-08,southeast,rotating,fatigue_awareness,3870,,
D092,44,6,2017-07-01,midwest,night,none,4843,,
D093,39,2,2021-06-05,southeast,rotating,defensive_driving,4008,,
D094,29,0,2023-07-03,midwest,rotating,defensive_driving,4507,,
D095,51,1,2022-04-19,midwest,day,none,4848,,
D096,51,1,2022-09-25,southeast,rotating,defensive_driving,4358,,
D097,40,1,2022-09-09,northeast,rotating,defensive_driving,4190,2024-03-18,involuntary
D098,60,1,2022-09-28,northeast,rotating,defensive_driving,4018,,
D099,34,0,2023-03-21,midwest,day,"eco_driving,defensive_driving",3797,,
D100,53,1,2022-08-28,midwest,rotating,"eco_driving,defensive_driving",3700,,
D101,61,6,2018-01-18,northeast,day,none,3868,,
D102,31,1,2022-05-04,northeast,rotating,defensive_driving,3934,2024-03-03,involuntary
D103,21,2,2021-12-18,northeast,rotating,defensive_driving,4288,,
D104,36,3,2021-01-14,southeast,day,"eco_driving,fatigue_awareness",4762,,
D105,39,1,2022-12-20,midwest,day,defensive_driving,4314,,
D106,38,6,2017-04-21,northeast,night,none,4715,,
D107,34,1,2022-04-21,midwest,night,none,4473,2024-03-13,involuntary
D108,34,0,2023-06-01,southeast,rotating,"eco_driving,defensive_driving,fatigue_awareness",3783,2024-06-08,voluntary
D109,28,1,2022-12-23,northeast,day,none,4277,2024-06-17,involuntary
D110,44,1,2022-12-06,southeast,night,"eco_driving,defensive_driving",4293,,
D111,21,0,2023-08-14,northeast,night,none,4682,2024-04-19,involuntary
D112,49,1,2022-10-20,midwest,rotating,"defensive_driving,fatigue_awareness",3971,2024-06-06,voluntary
