driver_idx,label,prob,peak_attention_week,peak_attention_weight
0,0,0.0057,1,0.259
1,0,0.0094,3,0.2549
2,0,0.0162,15,0.2357
3,1,1.0,11,0.3036
4,1,0.9956,11,0.9219
5,0,0.015,1,0.3989
6,0,0.1733,16,0.2659
7,0,0.0108,1,0.1397
8,0,0.3445,26,0.3029
9,0,0.0041,4,0.1906
10,0,0.0065,8,0.1175
11,0,0.0374,14,0.1943
12,0,0.3957,12,0.3167
13,1,0.997,11,0.8167
14,0,0.0132,10,0.2559
15,0,0.0041,7,0.0871
16,0,0.0038,11,0.1673
17,0,0.0046,19,0.1632
18,0,0.0233,13,0.2386
19,0,0.0154,9,0.1954
20,0,0.0487,13,0.1597
21,0,0.1877,15,0.4195
22,0,0.0217,2,0.3824
23,0,0.012,7,0.1206
24,0,0.0105,1,0.2345
25,0,0.0663,11,0.1882
26,0,0.0196,1,0.3651
27,0,0.2193,11,0.162
28,0,0.0048,3,0.2684
29,1,1.0,11,0.2727
30,0,0.0045,13,0.1099
31,1,1.0,10,0.227
32,0,0.0088,26,0.2034
33,0,0.0048,2,0.144
34,0,0.0203,17,0.2822
35,0,0.0111,14,0.2302
36,0,0.476,26,0.4947
37,0,0.0179,15,0.1735
38,0,0.0043,2,0.2067
39,1,0.9762,15,0.7953
40,0,0.016,11,0.173
41,1,0.9988,10,0.7916
42,0,0.012,1,0.3814
43,0,0.0445,9,0.1287
44,0,0.989,26,0.4093
45,0,0.0168,11,0.1126
46,0,0.0385,19,0.1526
47,0,0.0186,15,0.1871
48,0,0.0341,13,0.5211
49,1,1.0,25,0.2428
50,0,0.0085,1,0.2424
51,0,0.0137,10,0.1327
52,0,0.0273,15,0.2722
53,0,0.3637,12,0.3243
54,0,0.7312,26,0.3806
55,0,0.0044,2,0.2526
56,0,0.0107,13,0.1147
57,0,0.0189,11,0.2032
58,0,0.0064,11,0.2376
59,0,0.0238,11,0.2124
60,0,0.0291,8,0.2644
61,0,0.0059,1,0.2366
62,0,0.0078,5,0.1561
63,0,0.0064,13,0.2782
64,0,0.0038,4,0.1759
65,0,0.8409,26,0.4458
66,0,0.0051,10,0.0981
67,0,0.0037,3,0.191
68,0,0.0046,2,0.2069
69,1,0.9999,21,0.5381
70,0,0.0074,3,0.3561
71,0,0.004,17,0.1382
72,0,0.0081,11,0.1461
73,1,0.651,21,0.5356
74,0,0.014,8,0.2237
75,0,0.005,3,0.2929
76,0,0.0555,18,0.2228
77,0,0.0046,3,0.2352
78,0,0.0061,3,0.3217
79,0,0.0393,26,0.1583
80,0,0.1344,26,0.3122
81,0,0.0154,11,0.1569
82,0,0.0129,9,0.2182
83,1,1.0,24,0.3221
84,0,0.0312,14,0.1901
85,0,0.0135,14,0.1401
86,0,0.0504,10,0.2326
87,0,0.006,2,0.2705
88,0,0.0079,1,0.1842
89,0,0.0179,14,0.3288
90,0,0.0052,2,0.1676
91,0,0.0056,5,0.2484
92,0,0.0055,13,0.1545
93,0,0.0041,2,0.1993
94,0,0.046,11,0.2781
95,0,0.0139,1,0.1626
96,0,0.022,17,0.2163
97,0,0.0794,10,0.2534
98,0,0.0254,15,0.3007
99,0,0.0069,5,0.1455
100,1,0.99,12,0.7656
101,0,0.0236,1,0.3111
102,1,0.9998,20,0.4536
103,0,0.0046,12,0.1918
104,0,0.0165,1,0.4623
105,1,0.9982,24,0.3253
106,0,0.0167,17,0.1033
107,0,0.0118,13,0.3039
108,0,0.0076,3,0.1834
109,0,0.0162,10,0.2158
110,0,0.0044,2,0.2361
111,1,0.9994,9,0.8685
112,0,0.0057,1,0.0906
113,0,0.0146,13,0.1684
114,0,0.011,1,0.1612
115,0,0.0076,5,0.299
116,0,0.0177,19,0.2178
117,1,0.2674,10,0.2412
118,0,0.0053,7,0.163
119,1,1.0,25,0.3219
