epoch,train_loss,test_auc
1,1.0962,0.5939
2,1.082,0.6236
3,1.0571,0.6613
4,1.0325,0.7327
5,0.9737,0.7898
6,0.867,0.8921
7,0.699,0.9143
8,0.5644,0.9692
9,0.5126,0.9697
10,0.3476,0.972
11,0.3525,0.9909
12,0.3757,0.992
13,0.2706,0.9874
14,0.2364,0.9886
15,0.2211,0.9857
16,0.2401,0.9914
17,0.2346,0.9931
18,0.1988,0.9634
19,0.2483,0.9937
20,0.1415,0.9829
21,0.1476,0.9897
22,0.1031,0.9914
23,0.1181,0.9931
24,0.2173,0.9909
25,0.109,0.9874
26,0.0806,0.9812
27,0.1047,0.9794
28,0.0579,0.9891
29,0.0817,0.9852
30,0.0608,0.9863
31,0.0607,0.9846
32,0.0708,0.9857
33,0.0504,0.988
34,0.0672,0.9834
35,0.0544,0.9817
36,0.0626,0.9834
37,0.0659,0.9834
38,0.0512,0.9834
39,0.0396,0.9846
40,0.0265,0.9863
41,0.0479,0.9874
42,0.0363,0.9857
43,0.0483,0.9852
44,0.0332,0.9852
45,0.0386,0.9852
46,0.0436,0.9852
47,0.034,0.9857
48,0.0447,0.9857
49,0.0317,0.9857
50,0.027,0.9857
