incident_id,driver_id,trip_id,date,type,severity,fault,claim_amount,days_lost
INC000,D003,T002690,2024-03-30,injury,moderate,driver,0,16
INC001,D003,T002992,2024-05-17,collision,minor,unknown,3937,0
INC002,D004,T004001,2024-05-01,injury,moderate,other,0,1
INC003,D004,T003736,2024-03-21,property_damage,moderate,other,1752,0
INC004,D004,T003827,2024-04-03,property_damage,minor,driver,3725,0
INC005,D009,T008493,2024-02-06,collision,minor,other,1071,0
INC006,D010,T010242,2024-06-13,property_damage,minor,driver,1952,0
INC007,D010,T010113,2024-05-18,near_miss,minor,unknown,0,0
INC008,D012,T011733,2024-02-15,near_miss,moderate,driver,0,0
INC009,D013,T013260,2024-05-22,near_miss,moderate,driver,0,0
INC010,D013,T012970,2024-03-26,property_damage,moderate,other,702,0
INC011,D013,T013352,2024-06-09,property_damage,minor,unknown,339,0
INC012,D015,T014857,2024-03-02,near_miss,moderate,driver,0,0
INC013,D019,T018478,2024-03-14,collision,severe,other,14060,0
INC014,D019,T019015,2024-06-11,property_damage,severe,driver,356,0
INC015,D021,T020637,2024-03-03,near_miss,moderate,other,0,0
INC016,D024,T022755,2024-03-19,near_miss,minor,other,0,0
INC017,D025,T023292,2024-04-01,injury,moderate,driver,0,1
INC018,D026,T024587,2024-06-28,near_miss,severe,other,0,0
INC019,D026,T023946,2024-03-15,near_miss,moderate,other,0,0
INC020,D027,T024948,2024-02-26,property_damage,minor,unknown,1060,0
INC021,D027,T025530,2024-06-12,near_miss,minor,other,0,0
INC022,D030,T028385,2024-04-11,property_damage,minor,driver,1048,0
INC023,D031,T029097,2024-03-01,near_miss,minor,other,0,0
INC024,D034,T032148,2024-01-08,near_miss,minor,driver,0,0
INC025,D034,T032355,2024-02-19,near_miss,minor,other,0,0
INC026,D042,T040159,2024-04-19,near_miss,moderate,other,0,0
INC027,D043,T040978,2024-03-04,near_miss,moderate,driver,0,0
INC028,D044,T041692,2024-01-02,property_damage,minor,unknown,981,0
INC029,D051,T048921,2024-05-17,collision,minor,other,1784,0
INC030,D051,T048514,2024-03-05,near_miss,moderate,driver,0,0
INC031,D057,T055740,2024-06-30,property_damage,moderate,other,2047,0
INC032,D058,T056195,2024-03-14,property_damage,moderate,unknown,211,0
INC033,D060,T058761,2024-05-17,injury,moderate,unknown,0,1
INC034,D061,T059410,2024-03-14,injury,minor,driver,0,2
INC035,D062,T060557,2024-04-02,near_miss,minor,unknown,0,0
INC036,D064,T061753,2024-02-05,property_damage,severe,unknown,844,0
INC037,D064,T062143,2024-04-17,near_miss,severe,unknown,0,0
INC038,D072,T069904,2024-02-27,injury,minor,other,0,5
INC039,D074,T071600,2024-03-31,near_miss,severe,unknown,0,0
INC040,D074,T071910,2024-05-25,injury,minor,unknown,0,1
INC041,D081,T078580,2024-04-19,collision,minor,other,1982,0
INC042,D082,T079513,2024-03-23,near_miss,minor,driver,0,0
INC043,D088,T084555,2024-03-06,collision,moderate,other,4538,0
INC044,D092,T088198,2024-01-27,property_damage,moderate,other,1070,0
INC045,D093,T089874,2024-05-13,collision,minor,driver,1861,0
INC046,D093,T089450,2024-03-04,near_miss,minor,driver,0,0
INC047,D093,T089287,2024-01-31,injury,moderate,other,0,7
INC048,D094,T090693,2024-04-14,injury,minor,driver,0,1
INC049,D094,T091021,2024-06-09,near_miss,minor,unknown,0,0
INC050,D098,T095259,2024-04-14,near_miss,moderate,unknown,0,0
INC051,D099,T096255,2024-03-27,near_miss,moderate,driver,0,0
INC052,D103,T099991,2024-01-21,injury,minor,other,0,9
INC053,D104,T101124,2024-01-19,near_miss,minor,driver,0,0
INC054,D106,T103875,2024-05-18,injury,moderate,driver,0,4
INC055,D109,T107234,2024-05-19,injury,minor,other,0,4
INC056,D113,T110687,2024-01-22,injury,moderate,driver,0,4
INC057,D114,T112378,2024-04-28,property_damage,minor,unknown,963,0
INC058,D115,T113237,2024-03-15,collision,moderate,driver,1481,0
INC059,D115,T113189,2024-03-10,near_miss,minor,driver,0,0
INC060,D117,T115352,2024-03-13,collision,minor,driver,12157,0
INC061,D117,T115167,2024-02-18,collision,moderate,unknown,5888,0
INC062,D118,T115883,2024-03-08,near_miss,minor,other,0,0
INC063,D120,T117569,2024-04-02,injury,minor,unknown,0,2
INC064,D123,T121191,2024-05-31,collision,minor,driver,2187,0
INC065,D129,T126344,2024-01-09,injury,minor,driver,0,12
INC066,D132,T130543,2024-05-30,property_damage,minor,driver,517,0
INC067,D134,T132526,2024-04-29,near_miss,moderate,other,0,0
INC068,D135,T133144,2024-02-08,property_damage,moderate,driver,1038,0
INC069,D142,T139716,2024-01-01,property_damage,minor,other,152,0
INC070,D142,T140007,2024-02-19,property_damage,severe,driver,1346,0
INC071,D142,T139814,2024-01-16,collision,minor,other,7279,0
INC072,D145,T143512,2024-05-10,collision,minor,other,9036,0
INC073,D145,T143815,2024-06-26,near_miss,moderate,driver,0,0
INC074,D147,T144914,2024-02-14,near_miss,minor,driver,0,0
INC075,D147,T145291,2024-04-25,near_miss,minor,driver,0,0
INC076,D147,T144958,2024-02-25,collision,minor,other,2690,0
INC077,D149,T147616,2024-05-23,collision,minor,unknown,1558,0
INC078,D149,T147289,2024-03-24,injury,minor,driver,0,5
INC079,D149,T147469,2024-04-24,near_miss,minor,other,0,0
INC080,D149,T146912,2024-01-24,property_damage,minor,other,140,0
INC081,D150,T148507,2024-04-06,near_miss,moderate,driver,0,0
INC082,D151,T149749,2024-05-25,property_damage,minor,driver,1156,0
INC083,D152,T150368,2024-03-21,collision,minor,other,11954,0
INC084,D155,T154091,2024-06-19,injury,minor,driver,0,4
INC085,D156,T155100,2024-05-30,property_damage,minor,other,592,0
INC086,D156,T154902,2024-04-24,injury,moderate,unknown,0,1
INC087,D158,T157181,2024-05-28,near_miss,moderate,driver,0,0
INC088,D159,T157673,2024-02-21,near_miss,moderate,driver,0,0
INC089,D159,T157918,2024-03-31,collision,moderate,other,4646,0
INC090,D163,T161113,2024-02-06,near_miss,minor,unknown,0,0
INC091,D164,T162395,2024-05-28,injury,minor,other,0,1
INC092,D164,T162078,2024-04-05,near_miss,moderate,other,0,0
INC093,D165,T162991,2024-03-06,near_miss,minor,driver,0,0
INC094,D165,T162847,2024-02-13,collision,severe,driver,1677,0
INC095,D170,T168359,2024-05-31,near_miss,minor,driver,0,0
INC096,D176,T173426,2024-01-01,near_miss,moderate,other,0,0
INC097,D178,T176479,2024-06-14,near_miss,moderate,other,0,0
INC098,D179,T177573,2024-06-16,property_damage,moderate,unknown,447,0
INC099,D179,T176874,2024-02-20,injury,minor,unknown,0,2
INC100,D179,T176649,2024-01-12,collision,moderate,other,937,0
INC101,D182,T180207,2024-03-12,property_damage,minor,other,565,0
INC102,D182,T180210,2024-03-13,near_miss,minor,driver,0,0
INC103,D182,T180435,2024-04-18,property_damage,minor,unknown,799,0
INC104,D189,T187457,2024-05-27,injury,minor,unknown,0,16
INC105,D192,T190180,2024-02-11,near_miss,minor,driver,0,0
INC106,D192,T190289,2024-03-06,property_damage,severe,other,196,0
INC107,D193,T191531,2024-04-13,near_miss,moderate,driver,0,0
INC108,D197,T195432,2024-05-12,near_miss,moderate,unknown,0,0
INC109,D201,T199352,2024-04-29,near_miss,moderate,driver,0,0
INC110,D210,T208693,2024-05-07,property_damage,minor,other,2924,0
INC111,D212,T210231,2024-02-15,near_miss,moderate,driver,0,0
INC112,D213,T211705,2024-04-07,near_miss,severe,other,0,0
INC113,D215,T212870,2024-02-25,injury,moderate,unknown,0,10
INC114,D217,T214691,2024-01-21,property_damage,minor,other,257,0
INC115,D218,T216256,2024-04-02,near_miss,minor,other,0,0
INC116,D221,T219012,2024-03-23,injury,minor,other,0,4
INC117,D221,T219546,2024-06-13,property_damage,moderate,other,136,0
INC118,D224,T221547,2024-02-17,near_miss,minor,other,0,0
