trial,auc_cv,n_estimators,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda
0,0.7495,270,7,0.01479722474452293,7,0.7906985327648606,0.9668565305274716,2.3919726629999802,1.053780624062869e-05
1,0.7236,172,7,0.0938742395182866,10,0.6434047971467608,0.6031246393722199,0.0033715685990197445,0.8499987719143411
2,0.7449,110,7,0.02125311201100298,7,0.876302398099796,0.9646976984543431,0.004208119391476018,1.171965153167768e-08
3,0.7369,462,10,0.122773555783539,2,0.7982706538942717,0.6882676739924866,1.7831152251943983e-08,4.018464602780112e-07
4,0.7349,492,5,0.013564927799126504,1,0.8934810828735853,0.8547651255064603,1.4623086401960602e-07,1.2375170503718014
5,0.7382,363,6,0.19201737620358358,3,0.8214933761311591,0.8445182847483265,0.0019314616762502394,1.7054888926161287e-07
6,0.739,406,7,0.1389666527315296,3,0.9335211475085232,0.6460951606836676,9.036911780497574,3.15904787079851e-06
7,0.7293,136,8,0.05354138079513296,5,0.6816479522326513,0.8625824230635655,4.7518681642587045e-06,4.756012306102482e-06
8,0.7226,411,3,0.24019490428823995,10,0.9046046309656668,0.8009562151009126,1.4428962763475667e-07,0.00031130388635436927
9,0.7328,124,7,0.012761339008488802,5,0.8779482652740462,0.9004725160925308,8.010836295297954e-06,0.002577861552319154
10,0.7411,259,10,0.03432880643866933,8,0.7307631181611753,0.9962504854424303,3.674582234595642,0.0009530037454363591
11,0.7505,226,5,0.025277649908167957,7,0.773697576300568,0.9968722000923186,0.06722395733656432,1.7145389242191377e-08
12,0.7443,254,4,0.025401753704333972,7,0.7551782385245123,0.9383342599821272,0.18104008729603355,2.999672942593324e-05
13,0.736,202,5,0.0428621321672465,8,0.8059083787670585,0.7346226671448284,0.22978325036092187,1.0023140413333228e-08
14,0.7361,57,9,0.0103803913256259,6,0.6003159009726609,0.9976296652506015,0.10894712823621343,0.016972881910159165
15,0.7402,320,5,0.02037135529350734,9,0.7387904520894448,0.9234369425730258,0.516400841007565,2.1708817300415418e-07
16,0.7437,305,3,0.03068017952264143,4,0.992431070190218,0.8990030008021055,0.02077023495825746,2.900352468716008e-05
17,0.7462,216,8,0.018011748298596635,6,0.6970317152932982,0.9576892433042616,1.0093099091396922,0.02576751881990262
18,0.7444,314,6,0.07267489717778503,8,0.842313989530349,0.7980782299971155,0.0001215585612549392,7.063818173741876e-05
19,0.7372,224,4,0.014690040123596473,7,0.7786136639072917,0.7809594383854626,0.00015522993650532926,1.9004329015737427e-06
20,0.7348,169,8,0.045480717150659,9,0.6944124309861945,0.9726254614017027,0.023216835904811304,6.933874417012995e-08
21,0.7445,228,8,0.01895076538673064,5,0.695350812727564,0.9474913847083705,1.7310685988022552,0.09227770687391124
22,0.7564,277,9,0.016357615665735705,6,0.7659457492133797,0.9124398264006636,0.916271494560467,0.010108600078605208
23,0.7546,292,9,0.010604272841728272,6,0.7669014044022535,0.8942723096912875,0.027655754266122913,0.012240750041326793
24,0.7507,356,9,0.010287653323269585,6,0.7554446472322462,0.890596568356614,0.038427468265968365,0.12616083702898864
25,0.7514,364,9,0.011127964747448382,4,0.8362525561916777,0.8754525955284085,0.013657524726883048,8.338513955987386
26,0.7503,350,9,0.011443270628111783,3,0.8417845910204925,0.8265859407240269,0.0005299446014913258,3.7814659438478437
27,0.7565,401,10,0.015579114645267485,4,0.83122815259576,0.8792585035314541,0.010871513804066372,8.429287341047997
28,0.7457,419,10,0.01598144995636913,4,0.730317922309772,0.7528459491763603,0.0008314396538342102,0.0037341657200312584
29,0.7498,289,10,0.0330980537447978,5,0.9648005138003874,0.9140376972560549,6.472610484309254e-05,0.32502896625796635
30,0.7457,464,9,0.025496436846561842,6,0.8603098413280239,0.8193647441897667,0.008717305956588303,0.015532504163736145
