driver_id,week,month,hard_brakes_per_100km,hard_accels_per_100km,speeding_per_100km,sharp_turns_per_100km,phone_use_per_100km,high_severity_events,total_events_per_100km,fuel_per_100km,co2_kg,co2_per_km,idle_time_pct,idle_fuel_pct,idle_during_delivery_pct,daily_steps,daily_floors,daily_lifting_events,avg_package_weight_kg,daily_walk_minutes,total_km,total_hours,daily_hours,daily_km,trips_per_day,night_driving_pct,n_working_days,age,experience_years,shift,region,has_eco_training,has_safety_training,total_events_per_100km_trend,fuel_per_100km_trend,daily_hours_trend,daily_steps_trend,co2_per_km_trend
D001,1,1,0.24,0.24,0.0,0.0,0.0,2,1.92,12.26,118.25,0.2832,30.0,13.6,31.9,1037,12.8,3.8,6.7,8.6,417.6,10.4,2.1,83.5,5.4,63.0,5,52,0,rotating,southeast,False,True,,,,,
D001,2,1,0.4,0.4,0.13,0.13,0.13,0,1.75,13.68,235.09,0.316,48.7,22.1,35.4,2384,58.7,5.0,5.9,19.7,743.9,19.3,3.2,124.0,8.7,55.8,6,52,0,rotating,southeast,False,True,,,,,
D001,3,1,0.9,0.67,0.45,0.22,0.0,2,2.92,11.7,120.17,0.2703,28.1,10.7,30.4,1114,24.7,4.3,6.2,9.2,444.5,10.0,3.3,148.2,8.0,79.2,3,52,0,rotating,southeast,False,True,,,,,
D001,4,1,0.4,0.2,0.1,0.4,0.0,2,1.89,12.2,282.88,0.2819,39.0,14.9,40.1,1525,24.7,5.5,6.9,12.6,1003.4,21.0,3.5,167.2,7.7,52.2,6,52,0,rotating,southeast,False,True,,,,,
D001,5,2,0.56,0.38,0.19,0.0,0.19,0,1.88,11.36,139.73,0.2624,22.2,9.5,31.6,1343,27.3,2.7,5.2,11.1,532.5,10.8,3.6,177.5,8.3,0.0,3,52,0,rotating,southeast,False,True,-0.040000000000000036,-0.9000000000000004,1.5,306.0,-0.020799999999999985
D001,6,2,0.72,0.36,0.36,0.54,0.18,0,2.71,13.02,166.64,0.3007,37.6,18.0,34.6,1386,35.6,3.8,6.2,11.5,554.1,14.5,2.9,110.8,6.8,47.1,5,52,0,rotating,southeast,False,True,0.96,-0.6600000000000001,-0.30000000000000027,-998.0,-0.01529999999999998
D001,7,2,0.61,0.81,0.0,0.3,0.1,1,2.44,12.7,289.03,0.2935,33.3,14.1,37.7,1473,24.4,5.2,5.8,12.2,984.9,22.3,4.5,197.0,9.6,56.2,5,52,0,rotating,southeast,False,True,-0.48,1.0,1.2000000000000002,359.0,0.0232
D001,8,2,0.44,0.0,0.29,0.0,0.44,1,2.06,12.04,188.87,0.2782,31.6,14.7,35.5,1320,14.5,5.5,6.5,10.9,679.0,16.4,4.1,169.8,8.8,31.4,4,52,0,rotating,southeast,False,True,0.17000000000000015,-0.16000000000000014,0.5999999999999996,-205.0,-0.003699999999999981
D001,9,2,0.17,0.17,0.09,0.35,0.0,1,1.04,12.27,328.39,0.2833,32.6,12.5,33.3,1871,35.0,4.3,6.0,15.5,1159.0,26.5,4.4,193.2,10.0,15.0,6,52,0,rotating,southeast,False,True,-0.8399999999999999,0.9100000000000001,0.8000000000000003,528.0,0.020899999999999974
D001,10,3,0.61,0.76,0.3,0.15,0.0,4,2.12,12.55,191.38,0.29,51.4,23.1,30.6,1503,30.5,7.2,6.6,12.6,659.9,16.0,4.0,165.0,10.2,26.8,4,52,0,rotating,southeast,False,True,-0.5899999999999999,-0.46999999999999886,1.1,117.0,-0.010700000000000043
D001,11,3,0.28,0.84,0.0,0.84,0.0,3,3.06,11.03,91.52,0.2548,39.2,17.3,29.6,1689,49.0,5.0,6.4,13.9,359.2,7.7,3.8,179.6,9.5,36.8,2,52,0,rotating,southeast,False,True,0.6200000000000001,-1.67,-0.7000000000000002,216.0,-0.03869999999999996
D001,12,3,0.55,0.0,0.14,0.55,0.27,4,2.18,13.38,226.45,0.3091,54.3,24.2,27.4,1961,44.4,4.6,5.8,16.2,732.5,18.2,3.6,146.5,9.6,37.5,5,52,0,rotating,southeast,False,True,0.1200000000000001,1.3400000000000016,-0.49999999999999956,641.0,0.030899999999999983
D001,13,3,1.05,0.35,0.7,0.35,0.0,0,4.57,13.32,87.53,0.3076,42.7,20.2,41.8,1274,17.0,4.5,6.2,10.6,284.5,7.5,3.7,142.2,7.5,0.0,2,52,0,rotating,southeast,False,True,3.5300000000000002,1.0500000000000007,-0.7000000000000002,-597.0,0.02429999999999999
D001,14,4,0.56,0.34,0.11,0.67,0.0,2,2.58,11.65,239.64,0.2692,33.3,15.1,27.9,1774,18.8,5.6,5.9,14.7,890.1,21.4,4.3,178.0,9.8,20.4,5,52,0,rotating,southeast,False,True,0.45999999999999996,-0.9000000000000004,0.2999999999999998,271.0,-0.020799999999999985
D001,15,4,0.63,0.76,0.0,0.51,0.0,0,2.78,10.43,190.48,0.2409,25.6,12.7,39.2,1036,14.8,3.8,5.8,8.7,790.6,17.5,3.5,158.1,7.4,56.8,5,52,0,rotating,southeast,False,True,-0.28000000000000025,-0.5999999999999996,-0.2999999999999998,-653.0,-0.013900000000000023
D001,16,4,0.39,0.39,0.19,0.97,0.19,3,3.88,12.98,154.79,0.2999,42.8,19.5,37.8,2712,66.7,9.7,7.6,22.4,516.1,12.8,4.3,172.0,10.3,0.0,3,52,0,rotating,southeast,False,True,1.6999999999999997,-0.40000000000000036,0.6999999999999997,751.0,-0.009199999999999986
D001,17,4,0.42,0.14,0.0,0.42,0.42,3,3.39,11.92,195.06,0.2754,50.0,21.1,45.4,1736,37.0,6.8,6.1,14.4,708.3,16.3,4.1,177.1,9.0,33.3,4,52,0,rotating,southeast,False,True,-1.1800000000000002,-1.4000000000000004,0.39999999999999947,462.0,-0.032200000000000006
D002,1,1,2.36,1.24,1.24,1.12,0.62,10,8.44,27.04,503.51,0.6246,179.1,42.6,38.4,3225,69.0,7.2,6.2,26.5,806.1,21.6,3.6,134.4,10.2,0.0,6,33,1,day,northeast,True,False,,,,,
D002,2,1,1.87,0.62,1.45,1.04,0.62,5,7.68,23.59,262.42,0.545,121.0,33.8,33.3,2179,59.5,4.8,5.7,18.0,481.5,13.2,3.3,120.4,8.5,0.0,4,33,1,day,northeast,True,False,,,,,
